component,alarm_id,alarm_name,severity,alarm_type,raise_or_clear,mnemonic_code,trap_oid,match_trap_name,description,impact_on_system,possible_causes,procedure,parameters
dc,0x00F1025B,hwL2DomainMacLimitNumFallingThreshold,Warning,qualityOfServiceAlarm,Clear,hwL2DomainMacLimitNumRaisingThreshold,1.3.6.1.4.1.2011.5.25.42.2.1.7.62,hwL2DomainMacLimitNumRaisingThreshold,"The broadcast domain MAC address learning trap was cleared. (EntPhysicalIndex=[EntPhysicalIndex], PhyscialName=[PhyscialName], MacLimitVlanId=[Vlan_ID], MacLimitVsiName=[MacLimitVsiName], MacLimitBDId=[BD_ID], MacLimitEvpnName=[evpn_name], TrapSeverity=[TrapSeverity], TrapProbableCause=[TrapProbableCause], TrapEventType=[TrapEventType], MacDynAddressLearnNum=[MacDynAddressLearnNum], MacLimitMaxMac=[MacLimitMaxMac], MacLimitUpthreshold=[MacLimitUpthreshold], MacLimitDownthreshold=[MacLimitDownthreshold]).",There is no impact on the system.,"After MAC address limit was configured and the trap function for MAC address limit was enabled, the number of learned dynamic MAC addresses exceeded the upper threshold. The number of learned dynamic MAC addresses then fell below the MAC address limit because some MAC addresses were aged. Consequently, an alarm was generated to inform the user.",,EntPhysicalIndex::Indicates the index of a physical entity. | PhyscialName::Name of a physical entity. | Vlan_ID::VLAN ID. | MacLimitVsiName::Name of a VSI. | BD_ID::BD ID. | evpn_name::EVPN name. | TrapSeverity::NMS alarm severity. | TrapProbableCause::Alarm cause value. | TrapEventType::Alarm event type. | MacDynAddressLearnNum::Number of learned MAC addresses. | MacLimitMaxMac::Maximum number of MAC addresses. | MacLimitUpthreshold::Indicates the upper MAC address learning limit. | MacLimitDownthreshold::Indicates the lower MAC address learning limit.
dc,0x0F012012,hwCesLopsAlarm,Major,qualityOfServiceAlarm,Raise,hwCesLopsAlarm,1.3.6.1.4.1.2011.5.25.157.2.129,hwCesLopsAlarmResume,"Continuous loss of packet status alarm of PWE3 was detected. (IfIndex=[IfIndex], VcId=[VcId], VcType=[VcType], PeerAddress=[PeerAddress], InterfaceName=[InterfaceName]) An alarm indicating the continuous packet loss was generated.",Packet loss will occur on PWs.,"Cause 1: The line attenuation on the public network was high or the PW packet encapsulation failed. As a result, the packet loss ration on the PSN exceeded the threshold. Cause 2: The packet delay or burst size exceeded the maximum value allowed by the jitter buffer, and an underrun or overrun occurred.","1.Check and ensure that the physical connection and interface configurations on the PSN side are correct. Check the PW status, public network status, and packet statistics. Locate and remove packet loss points on each path. Check whether the alarm is cleared. If the alarm is cleared, go to Step 3. If the alarm is not cleared, go to Step 2. 2.Collect the alarm information, log information, and  configuration information, and then contact technical support personnel. 3.End.",IfIndex::interface index. | VcId::VcId. | VcType::VcType. | PeerAddress::Peer Address. | InterfaceName::Interface Name.
dc,0x00F10536,hwRsvpTeAddrConflict,Major,communicationsAlarm,Clear,hwRsvpTeAddrConflict,1.3.6.1.4.1.2011.5.25.148.1.12.2.12,hwRsvpTeAddrConflict,"The RSVP address conflict alarm was cleared. (ConflictAddr=[ipaddr], suspiciousAddr1=[suspiciousAddr1], suspiciousAddr2=[suspiciousAddr2], suspiciousAddr3=[suspiciousAddr3], suspiciousAddr4=[suspiciousAddr4], suspiciousAddr5=[suspiciousAddr5], suspiciousAddr6=[suspiciousAddr6], suspiciousAddr7=[suspiciousAddr7], suspiciousAddr8=[suspiciousAddr8])",Services are not affected.,The RSVP address conflict alarm was cleared.,,ipaddr::Conflicting address. | suspiciousAddr1::Fourth upstream conflicting address. | suspiciousAddr2::Third upstream conflicting address. | suspiciousAddr3::Second upstream conflicting address. | suspiciousAddr4::First upstream conflicting address. | suspiciousAddr5::First downstream conflicting address. | suspiciousAddr6::Second downstream conflicting address. | suspiciousAddr7::Third downstream conflicting address. | suspiciousAddr8::Fourth downstream conflicting address.
dc,0x0A5F2000,hwDHCPCAllocIpFailAlarm,Major,communicationsAlarm,Raise,DHCP_CLIENT_APPLY_ADDR_FAILED,1.3.6.1.4.1.2011.5.7.3.4.1,hwDHCPCAllocIpFailAlarmResume,"The DHCP client fails to obtain an address. (InterfaceName=[ifName], AddressType=[protocolType]) The DHCP client failed to request an IP address.",The interface cannot forward packets properly. The DHCP client fails to obtain an IP address. DHCP packets fail to be properly forwarded.,Cause 1: Interface physical link is down Cause 2: The DHCP server on the network cannot normally assign IP addresses. Cause 3: The configuration of DHCP client is not correct,"Cause 1: Interface physical link is down 1. Run the display interface brief [ <interface-type1> ]  [ main ] command to check whether the interface is shut down. If yes, go to Step 2. If not, go to Step 3. 2. Run the undo shutdown command and enable the interface and check whether the alarm is cleared. If yes, go to Step 4. If not, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel. 4. End. Cause 2: The DHCP server on the network cannot normally assign IP addresses. 1. Run the display dhcp server statistics error command in the diagnostic view to check statistics about invalid packets on the DHCP server. Then check whether error information about the DHCP server exists. If error information about the DHCP server exists, locate and rectify the fault based on the error type in the command output. If no error information about the DHCP server exists, go to Step 2. 2. Collect alarm, log, and configuration information, and contact technical support engineers. 3. End. Cause 3: The configuration of DHCP client is not correct 1. Check whether the DHCP client function is enabled. If yes, go to Step 3. If not, go to Step 2. 2. Run the ip address dhcp-alloc command to check whether the alarm is cleared. If yes, go to Step 5. If not, go to Step 3. 3. In case of IP address assignment for a sub-interface, ensure that the sub-interface is correctly configured with a VLAN. Then, check whether the alarm is cleared. If yes, go to Step 5. If not, go to Step 4. 4. Collect alarm information and configuration information, and then contact technical support personnel. 5. End.","ifName::Interface name. | protocolType::Protocol type. Currently, only DHCPv4 is supported."
dc,0x00F103AD,hwSystemRollback,Warning,processingErrorAlarm,Raise,hwSystemRollback,1.3.6.1.4.1.2011.5.25.219.2.11.3,-,"System rollback. (FileName=[SoftwareName], Version=[Version], Reason=[FailReason]) The system fails to start , and the software rolls back to the old version. In VS mode, this trap is supported only by the admin VS.","Cause 1: Rollback occurs on the system. The system software supports only the service features of the current version after the startup succeeds. Cause 2: The system starts from the backup area After the system software is started from the backup area, the user cannot add or delete files on the backup area, and cannot set the next startup package as a file on the backup area",Cause 1: Rollback occurs on the system. Cause 2: The system starts from the backup area,"Cause 1: Rollback occurs on the system. 1. Run the dir command to check the file system. If the storage medium is unavailable, the storage medium is damaged. Go to step 2. If the storage medium is available, system software is faulty and cannot start the system. Go to step 3. 2. Check the storage medium saved in the system software. If the storage medium is an SD card or a USB disk, replace it and restart the upgrade. If the upgrade fails, go to step 3. If the storage medium is flash, record the device type and number, collect alarm information and configuration information, and then contact technical support personnel. 3. Collect operation results, alarm information, and configuration information, and then contact technical support personnel. Cause 2: The system starts from the backup area 1. Run the display startup command in the user view to view information about the system software and configuration files started by the current device. The display shows that the storage path of the system software or configuration file used for this startup is the backup area, indicating that the system starts from the backup area. . 2. After starting from the standby area, the user cannot select the files in the standby area to set the next startup. Please format the root directory of the main area. After the main area is repaired, copy the system software to the main area directory and perform the upgrade. If the upgrade still fails, go to step 3 3. Collect operation results, alarm information, and configuration information, and then contact technical support personnel.",SoftwareName::The software package name before the rollback | Version::The version before the rollback | FailReason::Error reason
dc,0x0000F889,NEID_CONFLICT,Major,communicationsAlarm,Clear,hwDcnNeidConflict,1.3.6.1.4.1.2011.5.25.300.1.3.12,hwIpRanDcnNeIdConflict,"NEID confliction resolved. (ConflictNEID=[ConflictNEID]) In VS mode, this trap is supported only by the admin VS.",Services are not affected.,There is no same NEID in the network.,,ConflictNEID::Indicates the conflicting NE ID.
dc,0x0C19200C,hwRanApsK2Mismatch,Warning,processingErrorAlarm,Raise,hwRanApsK2Mismatch,1.3.6.1.4.1.2011.5.25.200.2.6,hwRanApsK2MismatchResume,"The K2 byte is not matched. (hwRanApsProtectionTable Group Index:[groupIndex], IfIndex:[ifIndex],APS protect IfIndex:[pIfindex],APS protect IfName:[pIfName],APS Group ID:[groupid]). The channel number in the received K2 byte did not match that in the sent K1 byte .","After a link becomes faulty, the protection switchover cannot be performed. As a result, traffic will be interrupted.",The aps protect mode (1+1/1:1) is not matched.,"1.Reset the subcard where the protection interface resides. Then, go to Step 2. 2.Run the display aps group group-id command to check whether the values of the W-State and P-State fields are both OK. If so, go to Step 4. If not, go to Step 3. 3.Collect the alarm information, log information, and configuration information, and then contact technical support personnel. 4.End.",groupIndex::APS group index. | ifIndex::The interface index. | pIfindex::The protect interface index. | pIfName::The protect interface name. | groupid::APS group id.
dc,0x00F10289,hwNDHostIPConflict,Major,qualityOfServiceAlarm,Clear,hwNDHostIPConflict,1.3.6.1.4.1.2011.5.25.332.2.6,hwNDHostIPConflict,"Host IPv6 address conflicted resolved. (BD=[BDId], LocalIPv6Address=[LocalIPv6], LocalMAC=[LocalMAC], LocalWorkInterface=[LocalWorkIf], LocalPeVid=[LocalPevid], LocalCeVid=[LocalCevid], RemoteIPv6Address=[RemoteIPv6], RemoteMAC=[RemoteMAC], RemoteWorkInterface=[RemoteWorkIf], RemotePeVid=[RemotePevid], RemoteCeVid=[RemoteCevid])",Services are not affected.,The IPv6 address of the conflicting host has been reconfigured.,"This log message is informational only, and no action is required.",BDId::BD ID | LocalIPv6::Local IPv6 address | LocalMAC::Local MAC address | LocalWorkIf::Local interface index | LocalPevid::Outer VLAN ID of the local interface | LocalCevid::Inner VLAN ID of the local interface | RemoteIPv6::Remote IPv6 address | RemoteMAC::Remote MAC address | RemoteWorkIf::Remote interface index | RemotePevid::Outer VLAN ID of the remote interface | RemoteCevid::Inner VLAN ID of the remote interface
dc,0x00F1005D,TWAMP_TWOWAY_DELAY,Warning,qualityOfServiceAlarm,Clear,hwTwampTwoWayDelayExceed,1.3.6.1.4.1.2011.5.25.333.1.4.4,hwTwampTwoWayDelayExceed,"The two-way delay of the TWAMP test instance was under the lower threshold in three consecutive test intervals. (Test SessionId=[sessionId], Value=[Value], UpperLimitThreshold=[UpperLimitThreshold], LowerLimitThreshold=[LowerLimitThreshold], Sender IP=[sender-address], Reflector IP=[reflector-address], Sender Port=[sender-port], Reflector Port=[reflector-port], VPN Instance=[vpn-name])",Services will not be affected.,The two-way delay of a TWAMP test instance was below the threshold in three consecutive measurement periods.,,sessionId::TWAMP Light test session ID. | Value::Delay value. | UpperLimitThreshold::The Delay trigger-alarm threshold value. | LowerLimitThreshold::The clear-alarm Delay threshold value. | sender-address::IP address of the sender. | reflector-address::IP address of the reflector. | sender-port::Port number of the sender. | reflector-port::Port number of the reflector. | vpn-name::VPN instance name.
dc,0x08012279,hwEthRxFlowFallAlarm,Major,qualityOfServiceAlarm,Raise,hwEthRxFlowFallAlarm,1.3.6.1.4.1.2011.5.25.157.2.294,hwEthRxFlowFallAlarmResume,"Traffic fall alarm in the receive direction of an Ethernet interface. (hwPhysicalPortIfIndex=[hwPhysicalPortIfIndex],hwPhysicalPortName=[hwPhysicalPortName],hwBandwidthLast=[hwBandwidthLast] bits/sec,hwBandwidthCurrent=[hwBandwidthCurrent] bits/sec) Traffic fall alarm in the receive direction of an Ethernet interface.","If the alarm exists, the traffic decreases sharply.",This alarm is reported when the following conditions are met: 1. The interface goes up. 2. The rate change of the current period ((Rate in the previous period - Rate in the current period)/Rate in the previous period) exceeds the specified threshold. (The rate in the current period is 5 minutes by default and configurable using the flow-change fall interval command. The threshold is 99% by default and configurable using the flow-change fall command.) 3. The initial bandwidth usage threshold is reached (20% by default; configurable using the flow-change fall start-check bandwidth-ratio command).,"1. Check whether the port status is down. If so, go to Step 5. If not, go to Step 2. 2. Check whether the alarm clearing time (5 minutes by default, which can be configured using the flow-change fall remain-time command) is exceeded. If so, go to Step 5. If not, go to Step 3. 3. Check whether the reset flow-change fall command is run in the system view to clear the sudden traffic decrease alarm on all interfaces.","hwPhysicalPortIfIndex::Index of physical port. | hwPhysicalPortName::Name of physical port. | hwBandwidthLast::Indicates the average rate in the previous interval, in bit/s. | hwBandwidthCurrent::Indicates the average rate in the current interval, in bit/s."
dc,0x08570003,LOOPBACK,Warning,communicationsAlarm,Raise,LOOPBACK,1.3.6.1.4.1.2011.5.25.129.2.10.1,hwPppLoopbackDetResume,"Interface loopback is detected. (IfIndex=[IfIndex], HwBaseTrapSeverity=[HwBaseTrapSeverity], HwBaseTrapProbableCause=[HwBaseTrapProbableCause], HwBaseTrapEventType=[HwBaseTrapEventType], IfName=[IfName]) This alarm indicates that a loop is detected during PPP negotiation.",The protocol status of the PPP link cannot go Up.,Cause 1: There was a loop in the network. Cause 2: Users configured the loopback { local | remote } command on the interface.,"Cause 1: 1. Check the networking diagram and physical link connections to see whether a loop exists on the network. If so, go to Step 2. If not, go to Step 3. 2. Adjust the networking diagram and physical link connections to clear loops on the network. Wait for 1 minute and check whether the alarm is generated again. If so, go to Step 3. If not, go to Step 4.",IfIndex::Index of the interface where the alarm is generated. | HwBaseTrapSeverity::Alarm severity. | HwBaseTrapProbableCause::Possible causes of the alarm. | HwBaseTrapEventType::Event type alarm. | IfName::Name of the interface generating the alarm.
dc,0x08590002,hwEthernetARPMACIPConflict,Major,environmentalAlarm,Raise,hwEthernetARPMACIPConflict,1.3.6.1.4.1.2011.5.25.123.2.7,hwEthernetARPMACIPConflictResolved,"MAC and IP address conflict. (Conflict interface=[LogicIfName], Conflict MAC address=[ConflictMAC], Conflict IP address=[ConflictIP], Received packet's destination MAC address=[DstMAC], Received packet's destination IP address=[DstIP], Received packet's VLAN=[Vlan], Received packet's CE-VLAN=[Cevlan], Input interface=[PhyIfName]) The source IP and MAC addresses of ARP packets received by the interface were the same as those of the interface.","If the trap is generated, there are loops on the network. As a result, user's services may be interrupted.",The source IP and MAC addresses of ARP packets received by the interface were the same as those of the interface.,"1. Check the network topology to determine whether there are loops on the network. If a loop is detected go to Step 2. If no loop is detected, go to Step 3. 2. Remove loops and check whether the trap is cleared. If the trap is cleared, go to Step 4. If the trap persists, go to Step 3. 3. Collect alarm information and configuration information, and then contact technical support personnel.",LogicIfName::Name of the conflict interface where the conflict is detected | ConflictMAC::Source MAC addresses of the received ARP packets | ConflictIP::Source IP addresses of the received ARP packets | DstMAC::Destination MAC addresses of the received ARP packets | DstIP::Destination IP addresses of the received ARP packets | Vlan::Outer vlan tag of the received ARP packets | Cevlan::Inner vlan tag of the received ARP packets | PhyIfName::Interface that receives ARP packets
dc,0x08570005,LCPNEGOSTATE,Warning,communicationsAlarm,Raise,LCPNEGOSTATE,1.3.6.1.4.1.2011.5.25.169.2.3,hwLcpNegotiateResumed,"LCP negotiation failed on the local interface. (IfName=[ifName], hwPppNegotiationFailReason=[hwPppNegotiationFailReason]) LCP negotiation fails on the interface.","When this alarm occurs, LCP negotiation fails and PPP services are interrupted.",Cause1: The parameter configurations on the local and remote interfaces were different. Cause2: Network congestion occurred or network quality deteriorated.,"Cause 1: 1. Run the display this command in the interface view to check whether the parameter settings of the peer interface are the same as those of the local interface. If they are consistent, go to Step 3. If they are inconsistent, go to Step 2. 2. Modify the configurations to ensure that the parameters of the two interfaces are consistent. Then, check whether the alarm is cleared. If so, go to Step 6. If not, go to Step 3.",ifName::Interface name | hwPppNegotiationFailReason::Cause of the negotiation failure.
dc,0x0000332C,hwPwApsPathMismatch,Minor,communicationsAlarm,Raise,hwPwApsPathMismatch,1.3.6.1.4.1.2011.5.25.119.10.2.3,hwPwApsPathMismatchClear,"APS reported an alarm about the mismatch of the working and protection paths. (PwApsId=[PwApsId], PWID=[PWID], PWTYPE=[PWTYPE], PWPeerIp=[PWPeerIp], PwIndex=[PwIndex]) Information about the working and protection paths in the APS packet sent from the remote end was inconsistent with that on the local end.",The PW protection group will fail.,Cause 1: Information about the working and protection paths was not configured on the local or remote end. Cause 2: Information about the working and protection paths on the local end was inconsistent with that on the remote end.,"The troubleshooting procedure is as follows: 1. Run the display this command on the AC (sub-)interface of the CSG to view the PW state (primary or secondary) and on the AC (sub-)interface of the RSG to view the PW state (primary or backup) to check if the configurations on the two ends of each PW match. If the configurations match, go to Step 3. If the configurations do not match, go to Step 2. 2. Reconfigure the primary, secondary, and bypass PWs on the CSG and RSG and check whether the alarm is cleared. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3.",PwApsId::ID of the PW APS instance | PWID::ID of the PW | PWTYPE::PW encapsulation type | PWPeerIp::Destination address of the PW | PwIndex::Interface index of the PW
dc,0x0001005A,hwMplsOamRdi,Minor,communicationsAlarm,Raise,hwMplsOamRdi,1.3.6.1.4.1.2011.5.25.121.2.1.22,hwMplsOamRdiRecovery,"The tunnel receives a RDI alarm. (SessionTunnelId=[SessionTunnelId], LocalLspId=[LocalLspId], IngressLsrId=[IngressLsrId], EgressLsrId=[EgressLsrId], IfIndex=[IfIndex], TunnelName=[TunnelName], SignalingProtocol=[SgnlPrtcl], IfName=[IfName], SignalledTunnelName=[SignalledTunnelName]) The peer end of an MPLS tunnel detected an LOC alarm and notified the local end of the LOC alarm.",Services will be switched to a backup tunnel.,The peer end of an MPLS tunnel detects an LOC alarm and notifies the local end of the LOC alarm. Then the alarm indicating the peer end failure will be reported on the local end.,"1. Check whether the CC function is enabled for the MEG at the source and sink ends. If so, go to Step 3. If not, go to Step 2. 2. Reconfigure the CC function for the MEG at the source and sink ends. Check whether the MPLS_LSPM_1.3.6.1.4.1.2011.5.25.121.2.1.23 hwMplsOamRdiRecovery alarm is generated. If so, go to Step 7. If not, go to Step 3. 3. Run the display interface command and check whether a physical interface bound to services is shut down.",SessionTunnelId::Tunnel ID | LocalLspId::Local LSP ID | IngressLsrId::ID of the ingress LSR | EgressLsrId::ID of the egress LSR | IfIndex::Index of the interface | TunnelName::Tunnel name | SgnlPrtcl::Tunneling protocol Ranges: 1:RSVP 2:STATIC 3:CRSTATIC | IfName::The name of the interface | SignalledTunnelName::Tunnel alias.
dc,0x00F1FF4B,CONFIGURATION_UNSAVED,Major,qualityOfServiceAlarm,Raise,CONFIGURATION_UNSAVED,1.3.6.1.4.1.2011.6.10.2.27,hwCfgConfigUnsavedClear,Configuration changes are not saved within the specified time. Configuration changes were not saved within the specified period of time.,"Configurations are lost after the device is powered off, affecting services.",Configuration changes are not saved within 7 days.,"1. If you want to maintain the current status of the device, run the clear alarm alarm-name CONFIGURATION_UNSAVED command in the diagnostic view to clear the alarm. Otherwise, use one of the following methods in the user view to clear the alarm. (1). Run the save command to save configurations to the configuration file that takes effect upon the next startup. (2). Run the reset saved-configuration command to clear the configuration file for next startup. (3). Run the startup saved-configuration command to update the configuration file for next startup. If the clearance fails, go to step 2.",
dc,0x00F1009C,hwIPSecPkiCrlUnexpired,Major,communicationsAlarm,Clear,hwIPSecPkiCrlExpired,1.3.6.1.4.1.2011.5.25.224.2.1.25,hwIPSecPkiCrlExpired,"The crl has been updated. (CrlStartTime=[CrlStartTime], CrlFinishTime=[CrlFinishTime], CrlIssuer=[CrlIssuer],  FileName=[FileName])",Services are not affected.,The CRL has been updated.,,CrlStartTime::Indicates the start time of the CRL. | CrlFinishTime::Indicates the end time of the CRL. | CrlIssuer::Indicates the issuer of the CRL. | FileName::Indicates the name of a CRL file.
dc,0x00F104BE,hwSystemMemoryOvLoadAlarm,Critical,qualityOfServiceAlarm,Clear,hwSystemMemoryOvLoadAlarm,1.3.6.1.4.1.2011.5.25.129.2.6.6,hwSystemMemoryOverload,"The memory usage falls below the reliability clear threshold. (TrapSeverity=[TrapSeverity], EventType=[EventType], PhysicalIndex=[PhysicalIndex], PhysicalName=[PhysicalName], UsageValue=[UsageValue], Unit=[Unit], UsageThreshold=[UsageThreshold]) In VS mode, this trap is supported only by the admin VS.",There is no impact on the system.,The memory usage of the board is lower than the value of Memory Resilience overload Threshold minus 4. Run the display current-configuration include-default | include memory-usage reliability command to view the memory resilience configuration. The value of overload-threshold is the memory resilience overload threshold.,,TrapSeverity::Alarm severity. | EventType::Alarm type. | PhysicalIndex::Index of the physical entity. | PhysicalName::Entity name. | UsageValue::Utilization. | Unit::Unit. | UsageThreshold::Threshold
dc,0x00F1FF09,hwlldpNeighborUnexpectedAlarm,Minor,communicationsAlarm,Clear,hwlldpNeighborUnexpectedAlarm,1.3.6.1.4.1.2011.5.25.134.2.14,hwlldpNeighborUnexpectedAlarm,"The neighbor information of LLDP packet is as expected. (Interface=[interfaceName], RemoteChassisType=[chassisSubType], RemoteChassisId=[chassisId], RemotePortIdType=[portIdSubType], RemotePortId=[portId], Reason=[lldpReasonString])",Services are restored.,Loopback of protocol packets is not detected on the port within 120s after the alarm is triggered.,,interfaceName::Name of the interface | chassisSubType::Chassis type of the LLDP neighbor. | chassisId::Chassis ID of an LLDP neighbor. | portIdSubType::Interface ID type of an LLDP neighbor. | portId::Interface ID of an LLDP neighbor. | lldpReasonString::Cause of the LLDP neighbor exception.
dc,0x00F102C6,PIM_RPF_ASSERT_WINNER_FLAPPING_CLEAR,Minor,communicationsAlarm,Clear,PIM_RPF_ASST_WINNER_FLAPPING,1.3.6.1.4.1.2011.5.25.149.4.0.37,hwPimRpfAssertWinnerFlapping,"The flapping of the assert winner is clear. (AddressFamily=[AddressFamily], SrcAddr=[SrcAddr], GrpAddr=[GrpAddr], InterfaceName=[InterfaceName], CurrentAssertWinnerAddr=[CurrentAssertWinnerAddr], InstanceName=[InstanceName], ReasonType=[ReasonType])",Services will not be affected.,The Assert state of the upstream interface of the upstream device is restored to stable,,AddressFamily::Address family. | SrcAddr::Multicast source address. | GrpAddr::Multicast group address. | InterfaceName::Interface name. | CurrentAssertWinnerAddr::Current assert winner address. | InstanceName::Instance name. | ReasonType::Reason for alarm clear: 1: Incoming interface changed; 2: Entry is deleted; 3: Assert winner flapping restored.
dc,0x094920AF,hwBip2ExcAlarm,Minor,communicationsAlarm,Raise,hwBip2ExcAlarm,1.3.6.1.4.1.2011.5.25.157.2.169,hwBip2ExcAlarmResume,"BIP2 threshold crossing alarm! (PhyIfIndex=[PhyIfIndex],SlotID=[SlotID],CardID=[CardID],PortID=[PortID],HpID=[HpID],LpID=[LpID],hwPhysicalPortName=[hwPhysicalPortName]) BIP2 threshold crossing alarm.","When the hwBip2ExcAlarm occurs,the quality of the low order path transmitted services is heavily degraded,maybe affect the services of the low order path.","Cause 1: The optical fiber was disconnected. Cause 2: The optical loss was beyond the normal range. Cause 3: The remote device failed to send signals. Cause 4: The cross-connect board of the remote device failed, was not installed, or was not installed properly. Cause 5: The clock board of the remote device failed.","1.Check whether the optical loss is beyond the normal range and whether the optical fiber is disconnected. If the optical loss is beyond the normal range or the optical fiber is disconnected, replace the optical fiber and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 2. 2.On the NMS, check whether the laser on the corresponding LPU of the remote device is shut down. If the laser is shut down, switch on the laser and check whether the alarm is cleared. If the alarm is cleared, go to End. If the alarm persists, go to Step 3. 3.On the NMS, check whether the transmit optical power of the remote device is correct. If the transmit optical power is incorrect, replace the corresponding LPU and check whether the alarm is cleared.",PhyIfIndex::Node ID. | SlotID::Slot ID. | CardID::Card ID. | PortID::Port ID. | HpID::High order path ID. | LpID::low order path ID. | hwPhysicalPortName::Port Name.
dc,0x00F1FF72,hwL3ucBoardNotSupportFunction,Warning,equipmentAlarm,Raise,hwL3ucBoardNotSupportFunction,1.3.6.1.4.1.2011.5.25.321.30.2,hwL3ucBoardNotSupportFunctionAlarmResume,"The board does not support this function. (SlotID=[SlotID], ReasonID=[ReasonID], ReasonDescription=[ReasonDescription]) The board does not support this function.","Cause 1: The board does not support SRv6 SRH compression. For boards that do not support SRv6 SRH compression, traffic cannot be forwarded based on SRv6 SRH compression. Cause 2: The board does not support SRv6-TE FRR Trust Domain Verification. Traffic can be properly forwarded, but SRv6 TE FRR trusted-domain verification is not supported. Cause 3: The board in the current slot does not support the function of configuring the TCP MSS value in the outbound direction of the MGRE tunnel. Traffic forwarding is not affected. For boards that do not support the configuration, the MSS value of packets encapsulated in the MGRE tunnel cannot be adjusted. Cause 4: The board in the current slot does not support the function of configuring the TCP MSS value in the inbound direction of the MGRE tunnel. Traffic forwarding is not affected. For boards that do not support the configuration, the MSS value of packets encapsulated in the MGRE tunnel cannot be adjusted. Cause 5: The board in the current slot does not support the function of configuring the outbound TCP MSS value for the GRE tunnel. Traffic forwarding is not affected. For boards that do not support the configuration, the MSS value of packets encapsulated by the GRE tunnel cannot be adjusted. Cause 6: The board in the current slot does not support passive ND learning. Traffic forwarding is not affected. Passive ND learning does not take effect on boards that do not support it.",Cause 1: The board does not support SRv6 SRH compression. Cause 2: The board does not support SRv6-TE FRR Trust Domain Verification. Cause 3: The board in the current slot does not support the function of configuring the TCP MSS value in the outbound direction of the MGRE tunnel. Cause 4: The board in the current slot does not support the function of configuring the TCP MSS value in the inbound direction of the MGRE tunnel. Cause 5: The board in the current slot does not support the function of configuring the outbound TCP MSS value for the GRE tunnel. Cause 6: The board in the current slot does not support passive ND learning.,"Cause 1: The board does not support SRv6 SRH compression. 1. Run the display version command in any view to check whether a board that does not support SRv6 SRH compression exists on the device. If so, go to Step 2. If no, go to Step 3. 2. Replace the board that does not support SRv6 SRH compression with a board that supports SRv6 SRH compression. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm, log, and configuration information, and contact technical support personnel. 4. End. Cause 2: The board does not support SRv6-TE FRR Trust Domain Verification. 1. Run the display version command in any view to check whether a board that does not support SRv6 TE FRR trusted-domain verification exists on the device. If so, go to Step 2. If no, go to Step 3. 2. Replace the board that does not support SRv6 TE FRR trusted-domain verification with a board that supports SRv6 TE FRR trusted-domain verification. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm, log, and configuration information, and contact technical support personnel. 4. End. Cause 3: The board in the current slot does not support the function of configuring the TCP MSS value in the outbound direction of the MGRE tunnel. 1. Run the display version command in any view to check whether a board that does not support the configuration of the TCP MSS value in the outbound direction of the MGRE tunnel exists on the device. If so, go to Step 2. If no, go to Step 3. 2. Replace the board that does not support the configuration of the TCP MSS value in the outbound direction of the MGRE tunnel with a board that supports the configuration of the TCP MSS value in the outbound direction of the MGRE tunnel. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm, log, and configuration information, and contact technical support personnel. 4. End. Cause 4: The board in the current slot does not support the function of configuring the TCP MSS value in the inbound direction of the MGRE tunnel. 1. Run the display version command in any view to check whether there are boards that do not support the configuration of the TCP MSS value in the inbound direction of the MGRE tunnel. If yes, go to Step 2. If no, go to Step 3. 2. Replace the board that does not support the specified configuration with a board that supports the configuration of the inbound TCP MSS value for the MGRE tunnel. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm, log, and configuration information, and contact technical support personnel. 4. End. Cause 5: The board in the current slot does not support the function of configuring the outbound TCP MSS value for the GRE tunnel. 1. Run the display version command in any view to check whether there is any board that does not support the configuration of the TCP MSS value in the outbound direction of the GRE tunnel. If yes, go to Step 2. If no, go to Step 3. 2. Replace the board that does not support the specified configuration with a board that supports the configuration of the TCP MSS value in the outbound direction of the GRE tunnel. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm, log, and configuration information, and contact technical support. 4. End. Cause 6: The board in the current slot does not support passive ND learning. 1. Run the display version command in any view to check whether a board that does not support passive ND learning exists on the device. If so, go to Step 2. If not, go to Step 3. 2. Replace the board that does not support passive ND learning with a board that supports passive ND learning. If the alarm is cleared, go to Step 4. If the alarm persists, go to Step 3. 3. Collect alarm, log, and configuration information, and contact technical support. 4. End.",SlotID::Slot ID | ReasonID::ID of the alarm reason | ReasonDescription::Description of the alarm reason
